0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:06 +0530] "GET /trustworthy_evote/index.html HTTP/1.1" 200 15168
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:07 +0530] "GET /trustworthy_evote/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 65696
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:07 +0530] "GET /trustworthy_evote/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 63235
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:07 +0530] "GET /trustworthy_evote/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:07 +0530] "GET /trustworthy_evote/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155631
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:07 +0530] "GET /trustworthy_evote/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:07 +0530] "GET /trustworthy_evote/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 13871
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:07 +0530] "GET /trustworthy_evote/assets/css/main.css HTTP/1.1" 200 23169
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:07 +0530] "GET /trustworthy_evote/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:08 +0530] "GET /trustworthy_evote/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55976
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:08 +0530] "GET /trustworthy_evote/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78748
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:08 +0530] "GET /trustworthy_evote/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:08 +0530] "GET /trustworthy_evote/assets/js/main.js HTTP/1.1" 200 6333
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:08 +0530] "GET /trustworthy_evote/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:08 +0530] "GET /trustworthy_evote/assets/vendor/waypoints/noframework.waypoints.js HTTP/1.1" 200 21112
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:08 +0530] "GET /trustworthy_evote/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 145446
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:09 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:09 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:09 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:09 +0530] "GET /trustworthy_evote/assets/img/hero-img.png HTTP/1.1" 200 68245
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:09 +0530] "GET /trustworthy_evote/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:11 +0530] "GET /trustworthy_evote/assets/img/cta-bg.jpg HTTP/1.1" 200 212914
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:20 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:20 +0530] "GET /trustworthy_evote/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?856008caa5eb66df68595e734e59580d HTTP/1.1" 200 90528
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:20 +0530] "GET /trustworthy_evote/assets/vendor/remixicon/remixicon.woff2?t=1590207869815 HTTP/1.1" 200 125268
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:21 +0530] "GET /trustworthy_evote/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 93260
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:21 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:21 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:21 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:27 +0530] "GET /trustworthy_evote/eclogin.jsp HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:27 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:28 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:28 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:42:28 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:43 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:43 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:43 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:43 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:43 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:44 +0530] "GET /trustworthy_evote/eclogin.jsp HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:44 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:44 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:44:44 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [17/Jul/2021:07:49:50 +0530] "POST /trustworthy_evote/eclogindb.jsp HTTP/1.1" 200 399
